Date & time,Open,High,Low,Close,Volume
30.09.2024 00:00:00.000,1.11594,1.11640,1.11590,1.11640,170.42
30.09.2024 00:01:00.000,1.11640,1.11677,1.11640,1.11669,79.2
30.09.2024 00:02:00.000,1.11670,1.11672,1.11662,1.11665,73.35
30.09.2024 00:03:00.000,1.11665,1.11679,1.11654,1.11674,122.85
30.09.2024 00:04:00.000,1.11676,1.11694,1.11676,1.11682,157.05
30.09.2024 00:05:00.000,1.11682,1.11688,1.11675,1.11687,119.34
30.09.2024 00:06:00.000,1.11687,1.11691,1.11680,1.11682,42.51
30.09.2024 00:07:00.000,1.11681,1.11686,1.11675,1.11680,112.77
30.09.2024 00:08:00.000,1.11682,1.11697,1.11680,1.11686,63.54
30.09.2024 00:09:00.000,1.11687,1.11689,1.11678,1.11684,59.85
30.09.2024 00:10:00.000,1.11685,1.11690,1.11675,1.11675,75.15
30.09.2024 00:11:00.000,1.11677,1.11685,1.11675,1.11685,54.9
30.09.2024 00:12:00.000,1.11684,1.11687,1.11682,1.11687,48.6
30.09.2024 00:13:00.000,1.11686,1.11695,1.11686,1.11691,64.8
30.09.2024 00:14:00.000,1.11694,1.11700,1.11691,1.11694,60.3
30.09.2024 00:15:00.000,1.11694,1.11698,1.11692,1.11693,49.5
30.09.2024 00:16:00.000,1.11693,1.11693,1.11692,1.11692,9.9
30.09.2024 00:17:00.000,1.11692,1.11698,1.11691,1.11696,82.8
30.09.2024 00:18:00.000,1.11697,1.11698,1.11696,1.11697,29.7
30.09.2024 00:19:00.000,1.11697,1.11698,1.11697,1.11698,26.1
30.09.2024 00:20:00.000,1.11698,1.11698,1.11693,1.11697,17.1
30.09.2024 00:21:00.000,1.11697,1.11698,1.11696,1.11698,9
30.09.2024 00:22:00.000,1.11698,1.11698,1.11698,1.11698,9.9
30.09.2024 00:23:00.000,1.11698,1.11700,1.11698,1.11698,22.5
30.09.2024 00:24:00.000,1.11698,1.11699,1.11697,1.11699,19.8
30.09.2024 00:25:00.000,1.11698,1.11702,1.11697,1.11698,55.35
30.09.2024 00:26:00.000,1.11697,1.11703,1.11697,1.11702,68.87
30.09.2024 00:27:00.000,1.11703,1.11707,1.11702,1.11707,33.3
30.09.2024 00:28:00.000,1.11706,1.11710,1.11703,1.11708,46.35
30.09.2024 00:29:00.000,1.11707,1.11707,1.11703,1.11707,29.25
30.09.2024 00:30:00.000,1.11707,1.11723,1.11706,1.11717,99.45
30.09.2024 00:31:00.000,1.11716,1.11718,1.11712,1.11718,137.79
30.09.2024 00:32:00.000,1.11717,1.11718,1.11709,1.11710,106.69
30.09.2024 00:33:00.000,1.11711,1.11711,1.11703,1.11707,103.07
30.09.2024 00:34:00.000,1.11706,1.11707,1.11696,1.11698,135.23
30.09.2024 00:35:00.000,1.11698,1.11703,1.11696,1.11699,30.69
30.09.2024 00:36:00.000,1.11698,1.11710,1.11698,1.11709,46.89
30.09.2024 00:37:00.000,1.11708,1.11708,1.11704,1.11705,25.47
30.09.2024 00:38:00.000,1.11705,1.11717,1.11705,1.11717,70.62
30.09.2024 00:39:00.000,1.11716,1.11717,1.11709,1.11709,40.77
30.09.2024 00:40:00.000,1.11709,1.11711,1.11707,1.11709,77.58
30.09.2024 00:41:00.000,1.11708,1.11709,1.11707,1.11708,21.69
30.09.2024 00:42:00.000,1.11711,1.11712,1.11710,1.11711,45.27
30.09.2024 00:43:00.000,1.11712,1.11718,1.11712,1.11717,80.46
30.09.2024 00:44:00.000,1.11718,1.11718,1.11714,1.11715,39.69
30.09.2024 00:45:00.000,1.11716,1.11716,1.11713,1.11715,44.82
30.09.2024 00:46:00.000,1.11715,1.11718,1.11715,1.11718,13.86
30.09.2024 00:47:00.000,1.11717,1.11723,1.11717,1.11722,63.63
30.09.2024 00:48:00.000,1.11721,1.11721,1.11719,1.11719,17.19
30.09.2024 00:49:00.000,1.11719,1.11719,1.11716,1.11716,16.29
30.09.2024 00:50:00.000,1.11716,1.11717,1.11714,1.11715,40.98
30.09.2024 00:51:00.000,1.11716,1.11716,1.11711,1.11714,47.25
30.09.2024 00:52:00.000,1.11716,1.11716,1.11714,1.11715,10.46
30.09.2024 00:53:00.000,1.11714,1.11720,1.11714,1.11720,18.99
30.09.2024 00:54:00.000,1.11719,1.11719,1.11714,1.11716,39.66
30.09.2024 00:55:00.000,1.11717,1.11718,1.11717,1.11718,4.59
30.09.2024 00:56:00.000,1.11716,1.11716,1.11713,1.11713,6.72
30.09.2024 00:57:00.000,1.11713,1.11713,1.11706,1.11708,81.39
30.09.2024 00:58:00.000,1.11708,1.11710,1.11707,1.11709,125.07
30.09.2024 00:59:00.000,1.11711,1.11712,1.11706,1.11707,145.89
30.09.2024 01:00:00.000,1.11707,1.11709,1.11706,1.11706,57.18
30.09.2024 01:01:00.000,1.11706,1.11706,1.11699,1.11702,167.76
30.09.2024 01:02:00.000,1.11701,1.11715,1.11701,1.11712,238.29
30.09.2024 01:03:00.000,1.11712,1.11712,1.11700,1.11702,188.09
30.09.2024 01:04:00.000,1.11703,1.11704,1.11702,1.11703,61.32
30.09.2024 01:05:00.000,1.11704,1.11707,1.11704,1.11705,87.6
30.09.2024 01:06:00.000,1.11706,1.11706,1.11705,1.11706,42.69
30.09.2024 01:07:00.000,1.11705,1.11706,1.11705,1.11705,30.12
30.09.2024 01:08:00.000,1.11705,1.11706,1.11704,1.11704,34.58
30.09.2024 01:09:00.000,1.11704,1.11704,1.11700,1.11700,26.16
30.09.2024 01:10:00.000,1.11700,1.11703,1.11700,1.11703,65.7
30.09.2024 01:11:00.000,1.11705,1.11705,1.11700,1.11702,39.06
30.09.2024 01:12:00.000,1.11703,1.11703,1.11699,1.11700,19.53
30.09.2024 01:13:00.000,1.11700,1.11700,1.11700,1.11700,4.71
30.09.2024 01:14:00.000,1.11699,1.11699,1.11696,1.11696,25.41
30.09.2024 01:15:00.000,1.11697,1.11698,1.11695,1.11697,94.23
30.09.2024 01:16:00.000,1.11697,1.11697,1.11695,1.11695,16.08
30.09.2024 01:17:00.000,1.11692,1.11692,1.11689,1.11690,21.33
30.09.2024 01:18:00.000,1.11690,1.11696,1.11688,1.11696,67.32
30.09.2024 01:19:00.000,1.11697,1.11698,1.11695,1.11696,63.63
30.09.2024 01:20:00.000,1.11697,1.11707,1.11697,1.11707,60.84
30.09.2024 01:21:00.000,1.11705,1.11705,1.11696,1.11699,65.43
30.09.2024 01:22:00.000,1.11700,1.11702,1.11697,1.11702,34.44
30.09.2024 01:23:00.000,1.11703,1.11708,1.11703,1.11707,26.28
30.09.2024 01:24:00.000,1.11708,1.11713,1.11708,1.11708,67.53
30.09.2024 01:25:00.000,1.11708,1.11708,1.11701,1.11701,73.05
30.09.2024 01:26:00.000,1.11702,1.11703,1.11701,1.11702,152.55
30.09.2024 01:27:00.000,1.11703,1.11705,1.11700,1.11705,111.69
30.09.2024 01:28:00.000,1.11704,1.11706,1.11702,1.11702,59.52
30.09.2024 01:29:00.000,1.11701,1.11702,1.11699,1.11700,53.1
30.09.2024 01:30:00.000,1.11701,1.11701,1.11695,1.11697,54.36
30.09.2024 01:31:00.000,1.11697,1.11701,1.11696,1.11701,123.24
30.09.2024 01:32:00.000,1.11700,1.11702,1.11699,1.11699,51.12
30.09.2024 01:33:00.000,1.11700,1.11701,1.11697,1.11697,38.79
30.09.2024 01:34:00.000,1.11697,1.11702,1.11697,1.11701,69.3
30.09.2024 01:35:00.000,1.11702,1.11702,1.11696,1.11698,167.13
30.09.2024 01:36:00.000,1.11700,1.11700,1.11696,1.11697,57.15
30.09.2024 01:37:00.000,1.11698,1.11702,1.11697,1.11701,112.68
30.09.2024 01:38:00.000,1.11699,1.11699,1.11696,1.11697,65.79
30.09.2024 01:39:00.000,1.11696,1.11696,1.11694,1.11695,39.69
30.09.2024 01:40:00.000,1.11696,1.11696,1.11693,1.11693,60.78
30.09.2024 01:41:00.000,1.11693,1.11693,1.11692,1.11692,0.24
30.09.2024 01:42:00.000,1.11688,1.11688,1.11676,1.11681,158.67
30.09.2024 01:43:00.000,1.11680,1.11691,1.11679,1.11691,111.69
30.09.2024 01:44:00.000,1.11690,1.11693,1.11690,1.11693,59.85
30.09.2024 01:45:00.000,1.11692,1.11692,1.11683,1.11686,55.26
30.09.2024 01:46:00.000,1.11687,1.11690,1.11683,1.11683,41.94
30.09.2024 01:47:00.000,1.11685,1.11686,1.11682,1.11682,17.19
30.09.2024 01:48:00.000,1.11685,1.11685,1.11677,1.11682,65.88
30.09.2024 01:49:00.000,1.11683,1.11686,1.11675,1.11683,230.22
30.09.2024 01:50:00.000,1.11683,1.11693,1.11682,1.11693,156.6
30.09.2024 01:51:00.000,1.11693,1.11693,1.11681,1.11682,104.13
30.09.2024 01:52:00.000,1.11681,1.11688,1.11677,1.11686,147.6
30.09.2024 01:53:00.000,1.11686,1.11686,1.11680,1.11681,103.89
30.09.2024 01:54:00.000,1.11681,1.11687,1.11681,1.11686,111.8
30.09.2024 01:55:00.000,1.11684,1.11697,1.11683,1.11697,102.66
30.09.2024 01:56:00.000,1.11698,1.11698,1.11693,1.11695,14.97
30.09.2024 01:57:00.000,1.11694,1.11698,1.11691,1.11693,120.78
30.09.2024 01:58:00.000,1.11693,1.11694,1.11686,1.11690,11.91
30.09.2024 01:59:00.000,1.11690,1.11690,1.11687,1.11689,41.67
30.09.2024 02:00:00.000,1.11688,1.11704,1.11688,1.11695,409.94
30.09.2024 02:01:00.000,1.11691,1.11703,1.11686,1.11697,190.41
30.09.2024 02:02:00.000,1.11696,1.11697,1.11684,1.11692,218.39
30.09.2024 02:03:00.000,1.11691,1.11691,1.11686,1.11687,113.87
30.09.2024 02:04:00.000,1.11686,1.11694,1.11685,1.11693,204.41
30.09.2024 02:05:00.000,1.11694,1.11695,1.11689,1.11690,197.73
30.09.2024 02:06:00.000,1.11691,1.11695,1.11685,1.11689,288.75
30.09.2024 02:07:00.000,1.11688,1.11692,1.11687,1.11692,198.54
30.09.2024 02:08:00.000,1.11696,1.11700,1.11691,1.11699,216.27
30.09.2024 02:09:00.000,1.11698,1.11712,1.11696,1.11707,147.3
30.09.2024 02:10:00.000,1.11708,1.11708,1.11702,1.11705,121.59
30.09.2024 02:11:00.000,1.11705,1.11707,1.11705,1.11706,143.19
30.09.2024 02:12:00.000,1.11705,1.11709,1.11696,1.11697,102.06
30.09.2024 02:13:00.000,1.11698,1.11700,1.11696,1.11699,65.9
30.09.2024 02:14:00.000,1.11698,1.11700,1.11697,1.11697,76.95
30.09.2024 02:15:00.000,1.11697,1.11721,1.11695,1.11720,65.97
30.09.2024 02:16:00.000,1.11719,1.11727,1.11718,1.11723,64.2
30.09.2024 02:17:00.000,1.11723,1.11729,1.11723,1.11727,36.54
30.09.2024 02:18:00.000,1.11728,1.11730,1.11726,1.11727,203.49
30.09.2024 02:19:00.000,1.11727,1.11736,1.11727,1.11728,84.24
30.09.2024 02:20:00.000,1.11729,1.11739,1.11728,1.11731,110.46
30.09.2024 02:21:00.000,1.11731,1.11731,1.11712,1.11716,64.08
30.09.2024 02:22:00.000,1.11714,1.11718,1.11712,1.11717,55.1
30.09.2024 02:23:00.000,1.11717,1.11717,1.11709,1.11712,28.44
30.09.2024 02:24:00.000,1.11713,1.11715,1.11709,1.11713,41.13
30.09.2024 02:25:00.000,1.11712,1.11712,1.11702,1.11702,39.81
30.09.2024 02:26:00.000,1.11702,1.11702,1.11694,1.11700,55.35
30.09.2024 02:27:00.000,1.11699,1.11703,1.11697,1.11700,92.67
30.09.2024 02:28:00.000,1.11701,1.11706,1.11701,1.11706,78.5
30.09.2024 02:29:00.000,1.11707,1.11710,1.11706,1.11706,50.04
30.09.2024 02:30:00.000,1.11706,1.11710,1.11705,1.11708,39
30.09.2024 02:31:00.000,1.11707,1.11707,1.11701,1.11701,37.89
30.09.2024 02:32:00.000,1.11701,1.11708,1.11697,1.11707,84.78
30.09.2024 02:33:00.000,1.11707,1.11707,1.11704,1.11707,32.94
30.09.2024 02:34:00.000,1.11708,1.11710,1.11703,1.11705,79.08
30.09.2024 02:35:00.000,1.11705,1.11705,1.11701,1.11703,67.86
30.09.2024 02:36:00.000,1.11704,1.11710,1.11701,1.11710,97.83
30.09.2024 02:37:00.000,1.11713,1.11716,1.11700,1.11701,73.35
30.09.2024 02:38:00.000,1.11701,1.11701,1.11692,1.11700,119.34
30.09.2024 02:39:00.000,1.11700,1.11719,1.11700,1.11715,111.66
30.09.2024 02:40:00.000,1.11715,1.11724,1.11715,1.11719,191.34
30.09.2024 02:41:00.000,1.11717,1.11721,1.11715,1.11721,92.27
30.09.2024 02:42:00.000,1.11721,1.11721,1.11710,1.11712,35.7
30.09.2024 02:43:00.000,1.11712,1.11713,1.11710,1.11712,72.06
30.09.2024 02:44:00.000,1.11710,1.11718,1.11709,1.11718,54.9
30.09.2024 02:45:00.000,1.11717,1.11717,1.11706,1.11708,130.05
30.09.2024 02:46:00.000,1.11710,1.11719,1.11708,1.11718,106.47
30.09.2024 02:47:00.000,1.11718,1.11722,1.11716,1.11720,185.25
30.09.2024 02:48:00.000,1.11720,1.11730,1.11719,1.11725,140.94
30.09.2024 02:49:00.000,1.11725,1.11726,1.11722,1.11725,382.05
30.09.2024 02:50:00.000,1.11724,1.11725,1.11720,1.11721,181.35
30.09.2024 02:51:00.000,1.11721,1.11732,1.11721,1.11730,244.26
30.09.2024 02:52:00.000,1.11731,1.11736,1.11730,1.11731,323.99
30.09.2024 02:53:00.000,1.11730,1.11731,1.11718,1.11724,363.17
30.09.2024 02:54:00.000,1.11723,1.11728,1.11699,1.11700,328.55
30.09.2024 02:55:00.000,1.11700,1.11719,1.11688,1.11716,272.01
30.09.2024 02:56:00.000,1.11715,1.11717,1.11708,1.11709,196.38
30.09.2024 02:57:00.000,1.11708,1.11714,1.11708,1.11712,77.94
30.09.2024 02:58:00.000,1.11712,1.11712,1.11706,1.11710,90.21
30.09.2024 02:59:00.000,1.11708,1.11710,1.11705,1.11707,127.84
30.09.2024 03:00:00.000,1.11709,1.11713,1.11706,1.11711,305.43
30.09.2024 03:01:00.000,1.11710,1.11718,1.11709,1.11718,103.83
30.09.2024 03:02:00.000,1.11717,1.11723,1.11712,1.11712,67.68
