Date & time,Open,High,Low,Close,Volume
01.01.2024 23:00:00.000,2062.598,2078.825,2055.818,2058.605,28431.598900000008
02.01.2024 23:00:00.000,2058.018,2065.835,2030.515,2041.195,28982.4599
03.01.2024 23:00:00.000,2041.895,2050.855,2036.155,2043.124,21027.4499
04.01.2024 23:00:00.000,2043.218,2063.838,2024.255,2045.355,32530.7501
07.01.2024 23:00:00.000,2044.385,2046.525,2016.604,2027.835,26465.2898
08.01.2024 23:00:00.000,2028.045,2041.898,2026.015,2029.885,29843.6402
09.01.2024 23:00:00.000,2029.408,2040.135,2020.395,2024.105,25348.6369
10.01.2024 23:00:00.000,2023.995,2043.864,2013.225,2028.695,38022.8757
11.01.2024 23:00:00.000,2027.708,2062.145,2027.708,2048.675,32256.909900000002
14.01.2024 23:00:00.000,2048.498,2058.505,2045.675,2054.505,17709.5899
15.01.2024 23:00:00.000,2053.914,2055.495,2024.165,2028.155,36085.82690000001
16.01.2024 23:00:00.000,2026.898,2032.815,2001.755,2005.945,34486.4102
17.01.2024 23:00:00.000,2005.204,2023.135,2004.905,2022.835,23371.3899
18.01.2024 23:00:00.000,2023.785,2039.278,2020.325,2029.375,25702.1301
21.01.2024 23:00:00.000,2029.715,2032.005,2016.448,2021.105,25856.509900000005
22.01.2024 23:00:00.000,2021.038,2037.808,2019.515,2029.015,25464.299900000005
23.01.2024 23:00:00.000,2028.278,2036.575,2011.105,2014.214,28481.890399999997
24.01.2024 23:00:00.000,2013.765,2025.175,2009.455,2020.505,28207.890000000003
25.01.2024 23:00:00.000,2019.854,2026.715,2015.845,2017.915,20329.839999999997
28.01.2024 23:00:00.000,2024.215,2037.465,2019.195,2032.955,22508.5602
29.01.2024 23:00:00.000,2032.855,2048.448,2028.935,2036.495,26683.640199999994
30.01.2024 23:00:00.000,2036.955,2055.878,2031,2039.105,32713.7921
31.01.2024 23:00:00.000,2039.625,2065.348,2029.905,2054.545,35147.838800000005
01.02.2024 23:00:00.000,2053.788,2057.545,2027.635,2039.275,31701.620100000007
04.02.2024 23:00:00.000,2040.054,2042.034,2014.835,2025.005,21242.459699999996
05.02.2024 23:00:00.000,2024.288,2038.785,2022.795,2035.365,20107.3202
06.02.2024 23:00:00.000,2035.218,2044.465,2030.505,2034.805,24585.777200000008
07.02.2024 23:00:00.000,2034.508,2038.635,2020.095,2033.785,23303.849799999993
08.02.2024 23:00:00.000,2033.878,2037.058,2020.195,2024.155,22220.055000000004
11.02.2024 23:00:00.000,2023.495,2027.505,2011.795,2019.885,19594.9599
12.02.2024 23:00:00.000,2019.188,2032.845,1989.985,1992.855,19672.695000000003
13.02.2024 23:00:00.000,1992.398,1996.025,1984.088,1992.105,18210.1499
14.02.2024 23:00:00.000,1991.388,2008.175,1990.175,2004.105,20214.610000000004
15.02.2024 23:00:00.000,2003.598,2015.095,1994.985,2013.055,21653.590099999994
18.02.2024 23:00:00.000,2014.595,2022.895,2009.935,2017.775,14520.810100000002
19.02.2024 23:00:00.000,2017.498,2030.765,2014.945,2024.095,18044.140000000003
20.02.2024 23:00:00.000,2023.588,2032.195,2019.915,2025.895,20154.539999999997
21.02.2024 23:00:00.000,2025.098,2034.708,2019.555,2024.514,23348.6398
22.02.2024 23:00:00.000,2023.618,2041.285,2015.955,2035.215,23283.7003
25.02.2024 23:00:00.000,2034.295,2036.965,2024.975,2030.885,21715.986100000002
26.02.2024 23:00:00.000,2030.398,2039.375,2028.725,2029.964,20439.8701
