Date & time,Open,High,Low,Close,Volume
06.09.2024 00:00:00.000,0.84266,0.84301,0.84264,0.84296,161369.9951
06.09.2024 00:01:00.000,0.84297,0.84306,0.84296,0.84301,26100.0004
06.09.2024 00:02:00.000,0.84302,0.84302,0.84298,0.84301,11699.9998
06.09.2024 00:03:00.000,0.84302,0.84304,0.84302,0.84302,13500
06.09.2024 00:04:00.000,0.84301,0.84302,0.84299,0.84301,15600.0004
06.09.2024 00:05:00.000,0.84301,0.84304,0.84301,0.84304,8399.9996
06.09.2024 00:06:00.000,0.84304,0.84304,0.84301,0.84302,19200.0008
06.09.2024 00:07:00.000,0.84303,0.84305,0.84302,0.84303,11399.9996
06.09.2024 00:08:00.000,0.84303,0.84303,0.84302,0.84303,3599.9999
06.09.2024 00:09:00.000,0.84303,0.84306,0.84303,0.84303,4199.9998
06.09.2024 00:10:00.000,0.84303,0.84305,0.84303,0.84305,7800.0002
06.09.2024 00:11:00.000,0.84305,0.84306,0.84305,0.84306,4800.0002
06.09.2024 00:12:00.000,0.84305,0.84305,0.84305,0.84305,1800
06.09.2024 00:13:00.000,0.84305,0.84305,0.84304,0.84305,9000
06.09.2024 00:14:00.000,0.84305,0.84305,0.84304,0.84304,3000
06.09.2024 00:15:00.000,0.84304,0.84305,0.84303,0.84303,7800.0002
06.09.2024 00:16:00.000,0.84303,0.84306,0.84303,0.84306,5400.0001
06.09.2024 00:17:00.000,0.84305,0.84305,0.84305,0.84305,4500
06.09.2024 00:18:00.000,0.84304,0.84305,0.84304,0.84304,6000
06.09.2024 00:19:00.000,0.84305,0.84305,0.84303,0.84304,4800.0002
06.09.2024 00:20:00.000,0.84303,0.84304,0.84303,0.84304,6599.9999
06.09.2024 00:21:00.000,0.84305,0.84305,0.84305,0.84305,4800.0002
06.09.2024 00:22:00.000,0.84305,0.8431,0.84305,0.84305,14399.9996
06.09.2024 00:23:00.000,0.84305,0.84306,0.84305,0.84306,7800.0002
06.09.2024 00:24:00.000,0.84305,0.84307,0.84305,0.84307,9600.0004
06.09.2024 00:25:00.000,0.84306,0.84307,0.84306,0.84307,4800.0002
06.09.2024 00:26:00.000,0.84308,0.84308,0.84308,0.84308,1200
06.09.2024 00:27:00.000,0.84306,0.84311,0.84306,0.84308,18600.0004
06.09.2024 00:28:00.000,0.84308,0.84308,0.84307,0.84307,5400.0001
06.09.2024 00:29:00.000,0.84307,0.84307,0.84306,0.84306,3599.9999
06.09.2024 00:30:00.000,0.84305,0.84305,0.84305,0.84305,1800
06.09.2024 00:31:00.000,0.84306,0.84306,0.84305,0.84306,9000
06.09.2024 00:32:00.000,0.84306,0.84306,0.84304,0.84305,6599.9999
06.09.2024 00:33:00.000,0.84305,0.84305,0.84304,0.84304,3599.9999
06.09.2024 00:34:00.000,0.84305,0.84305,0.84304,0.84304,7199.9998
06.09.2024 00:35:00.000,0.84303,0.84305,0.84303,0.84303,3599.9999
06.09.2024 00:36:00.000,0.84304,0.84306,0.84304,0.84306,12000
06.09.2024 00:37:00.000,0.84304,0.84306,0.84304,0.84306,4800.0002
06.09.2024 00:38:00.000,0.84307,0.84307,0.84307,0.84307,1200
06.09.2024 00:39:00.000,0.84305,0.84308,0.84305,0.84306,6000
06.09.2024 00:40:00.000,0.84305,0.84305,0.84303,0.84303,2400.0001
06.09.2024 00:41:00.000,0.84303,0.84303,0.84301,0.84301,13199.9998
06.09.2024 00:42:00.000,0.84303,0.84304,0.84303,0.84303,6000
06.09.2024 00:43:00.000,0.84304,0.84305,0.84303,0.84304,9600.0004
06.09.2024 00:44:00.000,0.84303,0.84306,0.84303,0.84306,15600.0004
06.09.2024 00:45:00.000,0.84304,0.84307,0.84304,0.84305,9600.0004
06.09.2024 00:46:00.000,0.84305,0.84305,0.84305,0.84305,4800.0002
06.09.2024 00:47:00.000,0.84308,0.84309,0.84306,0.84308,13199.9998
06.09.2024 00:48:00.000,0.84309,0.84309,0.84308,0.84309,3599.9999
06.09.2024 00:49:00.000,0.84308,0.84309,0.84306,0.84309,18000
06.09.2024 00:50:00.000,0.84311,0.84311,0.84307,0.84307,9600.0004
06.09.2024 00:51:00.000,0.84307,0.84309,0.84307,0.84307,7199.9998
06.09.2024 00:52:00.000,0.84308,0.84309,0.84305,0.84308,12600.0004
06.09.2024 00:53:00.000,0.84307,0.84307,0.84307,0.84307,1200
06.09.2024 00:54:00.000,0.84308,0.8431,0.84308,0.84309,4800.0002
06.09.2024 00:55:00.000,0.84307,0.8431,0.84307,0.8431,3599.9999
06.09.2024 00:56:00.000,0.84308,0.8431,0.84307,0.8431,9600.0004
06.09.2024 00:57:00.000,0.84309,0.8431,0.84309,0.84309,7199.9998
06.09.2024 00:58:00.000,0.84306,0.84307,0.84305,0.84305,3599.9999
06.09.2024 00:59:00.000,0.84306,0.84308,0.84306,0.84308,3599.9999
06.09.2024 01:00:00.000,0.84305,0.84307,0.84305,0.84307,8399.9996
06.09.2024 01:01:00.000,0.84306,0.84307,0.84306,0.84307,3599.9999
06.09.2024 01:02:00.000,0.84308,0.84311,0.84308,0.84309,6000
06.09.2024 01:03:00.000,0.84311,0.84311,0.84309,0.84309,4800.0002
06.09.2024 01:04:00.000,0.8431,0.8431,0.84308,0.8431,4800.0002
06.09.2024 01:05:00.000,0.84309,0.8431,0.84307,0.84308,6000
06.09.2024 01:06:00.000,0.84308,0.84308,0.84298,0.84299,18600.0004
06.09.2024 01:07:00.000,0.84301,0.84302,0.84301,0.84302,2400.0001
06.09.2024 01:08:00.000,0.843,0.84301,0.84298,0.84301,8399.9996
